RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
51637,Round,2.000,D,SI2,Excellent,Excellent,Excellent,Faint ,8.14-8.19x4.93,GIA,5136101958,20418.0000,60.3,59.00,37306758
51637,Round,2.000,F,VS2,Excellent,Excellent,Very Good,None ,8.03-8.08x5.00,GIA,2136184940,29970.0000,62.1,58.00,37587607
51637,Pear,2.000,G,SI2,Very Good,Excellent,Very Good,None ,11.56x6.84x3.96,GIA,1139200952,11534.0000,58.0,61.00,37674129
51637,Pear,2.000,F,VS2,,Excellent,Very Good,Strong ,10.70x6.57x4.55,GIA,2136208377,15616.0000,69.3,51.00,37866757
76464,Round,2.000,G,I2,Very Good,Very Good,Good,Strong Blue,8.09-8.12x4.94,GIA,7121496112,5760.0000,61.0,63.00,37133524
73688,Round,2.000,G,SI2,Very Good,Very Good,Very Good,Faint ,7.93-7.97x0.00,GIA,1129625279,14904.0000,63.7,59.00,35276210
73688,Round,2.000,J,VS2,Good,Very Good,Excellent,None ,7.89-7.92x0.00,GIA,1139094157,11780.0000,64.5,54.00,37092620
73564,Round,2.000,K,SI1,Very Good,Excellent,Very Good,None ,7.79-7.83x5.10,IGI,S2G58289,10720.0000,65.3,57.00,30810165
73564,Round,2.000,K,VS2,Very Good,Excellent,Good,None ,8.12-8.14x4.90,IGI,S3A51220,11792.0000,60.3,57.50,36262050
78035,Round,2.000,I,VS2,Very Good,Very Good,Very Good,None ,7.96-8.02x5.05,IGI,S2D73699,15640.0000,63.2,58.00,36804115
33958,Round,2.000,D,SI1,Excellent,Excellent,Very Good,None ,8.01-8.10x5.05,GIA,1132552987,30400.0000,62.6,55.00,32254999
33958,Round,2.000,F,VS1,Excellent,Excellent,Excellent,None ,8.01-8.07x5.05,GIA,2135552957,40500.0000,62.7,55.00,32255000
33958,Oval,2.000,F,VS1,,Good,Good,Strong ,8.98x7.11x4.59,GIA,,15180.0000,64.6,63.00,30861312
33958,Round,2.000,J,SI1,Good,Excellent,Very Good,Faint ,7.76-7.83x5.14,GIA,2135616262,12104.0000,65.9,60.00,33597524
54505,Round,2.000,M,VS1,Good,Very Good,Very Good,Medium Blue,7.73-7.83x5.14,GIA,2127865994,9492.0000,66.0,55.00,36968887
43412,Round,2.000,K,VVS1,Excellent,Excellent,Very Good,None ,8.02-8.06x5.04,GIA,2126955686,17600.0000,62.7,55.00,35974331
43412,Round,2.000,G,VVS2,Excellent,Excellent,Very Good,None ,8.04-8.09x4.99,GIA,2136163569,33600.0000,61.9,58.00,37592157
78653,Round,2.000,F,VVS1,Excellent,Excellent,Excellent,None ,8.01-8.08x5.03,GIA,1139034087,46970.0000,62.5,58.00,36882914
78653,Princess,2.000,G,VS1,,Very Good,Very Good,None ,6.94x6.91x5.10,GIA,2121893484,17152.0000,73.8,68.00,37802438
78653,Princess,2.000,H,VVS2,,Very Good,Very Good,Medium Blue,7.11x6.74x4.96,GIA,2131497461,16200.0000,73.6,76.00,37226978
67000,Cushion Modified,2.000,F,IF,,Excellent,Very Good,Medium ,7.60x6.53x4.58,GIA,5136160691,23430.0000,70.1,64.00,37357707
67000,Princess,2.000,G,VS2,,Very Good,Very Good,None ,6.64x6.59x5.17,GIA,2126804872,15104.0000,78.5,67.00,35928691
67000,Round,2.000,E,VS1,Excellent,Excellent,Very Good,None ,7.99-8.05x5.03,GIA,1129550837,41600.0000,62.7,55.00,33255419
67000,Round,2.000,E,VS1,Excellent,Excellent,Very Good,None ,7.96-8.06x5.03,GIA,5126828792,41600.0000,62.8,56.00,35009541
67000,Round,2.000,H,IF,Very Good,Excellent,Excellent,None ,7.89-7.93x5.10,IGI,S3D18295,24600.0000,64.5,55.00,37744522
67000,Round,2.000,J,VVS1,Very Good,Excellent,Very Good,None ,7.77-7.85x5.12,IGI,S3C96707,15360.0000,65.4,56.00,37672629
67000,Round,2.000,K,VS2,Very Good,Excellent,Very Good,None ,7.93-7.96x4.99,GIA,2136126272,12672.0000,62.8,56.00,37319159
70696,Round,2.000,L,SI2,Excellent,Excellent,Excellent,None ,8.08-8.13x4.95,GIA,5126890125,9280.0000,61.0,58.00,37592337
67016,Round,2.000,M,VS2,Very Good,Excellent,Excellent,Faint Blue,7.85-7.91x5.08,GIA,6147011277,8540.0000,64.6,56.00,35089096
67016,Round,2.000,M,VVS2,Very Good,Excellent,Excellent,Medium Blue,7.95-8.01x5.03,GIA,2141169526,10360.0000,63.1,57.00,37762502
67016,Round,2.000,H,SI2,Very Good,Good,Very Good,Faint Blue,8.09-8.15x4.93,GIA,2131747770,14008.0000,60.8,60.00,33405000
67016,Round,2.000,I,SI2,Very Good,Very Good,Very Good,Very Strong Blue,8.01-8.07x4.97,GIA,5136108885,12648.0000,61.8,57.00,37464761
67016,Round,2.000,K,VS2,Very Good,Excellent,Excellent,Medium Blue,7.94-8.01x5.09,GIA,1146009957,13552.0000,63.8,55.00,34515011
67016,Round,2.000,G,IF,Excellent,Very Good,Excellent,None ,8.01-8.05x4.99,GIA,5126404171,40150.0000,58.0,62.20,34975969
67016,Round,2.000,G,SI2,Very Good,Excellent,Very Good,Medium Blue,8.22-8.25x4.87,GIA,1146068691,16200.0000,59.1,62.00,34311122
67016,Round,2.000,H,VVS2,Very Good,Very Good,Very Good,None ,7.91-7.99x5.09,GIA,1136747430,27360.0000,64.0,57.00,33426191
75149,Round,2.000,K,SI1,Very Good,Very Good,Good,None ,7.98-8.01x5.08,IGI,S3B61102,9898.6600,63.5,55.50,34662438
71331,Round,2.000,F,SI1,Good,Very Good,Very Good,None ,7.98-8.05x4.92,GIA,5116533126,19040.0000,61.3,59.00,35891245
40218,Round,2.000,F,VVS2,Very Good,Excellent,Excellent,Strong ,8.01-8.06x4.97,GIA,2126404570,33390.0000,61.9,60.00,33512849
40218,Round,2.000,J,SI2,Very Good,Excellent,Good,None ,7.81-7.86x5.08,IGI,S2H59872,9672.0000,64.9,57.00,35018033
40218,Round,2.000,G,VVS2,Very Good,Excellent,Very Good,None ,7.82-7.86x5.11,IGI,S2G70009,27720.0000,65.3,57.00,33512850
40218,Round,2.000,I,SI1,Very Good,Very Good,Good,Very Slight ,8.00-8.05x5.00,IGI,S2H65171,13440.0000,62.3,54.00,33512851
69905,Round,2.000,I,SI2,Excellent,Excellent,Excellent,None ,8.21-8.22x4.82,IGI,S3B18661,13020.0000,58.7,61.50,34295222
42505,Round,2.000,G,SI1,Good,Excellent,Good,None ,5.10-7.81x7.74,GIA,2141369359,17030.0000,65.7,58.00,37636007
42505,Round,2.000,F,VVS2,Very Good,Excellent,Excellent,None ,5.08-7.93x7.86,GIA,6147275024,39220.0000,64.4,55.00,37176652
35141,Round,2.000,I,VVS1,Excellent,Excellent,Very Good,None ,7.92-8.02x4.98,IGI,S2H97723,21484.0000,62.4,60.50,31827446
35141,Round,2.000,F,VVS1,Very Good,Very Good,Good,Slight ,7.80-7.87x5.13,IGI,S1F16402,33516.0000,65.5,56.00,35378754
35141,Round,2.000,K,VVS2,Excellent,Very Good,Excellent,None ,8.02-8.04x5.01,IGI,S2F86534,13230.0000,62.4,57.50,31302969
35141,Round,2.000,L,IF,Very Good,Excellent,Very Good,Very Slight ,8.04-8.08x4.90,IGI,S2H93872,11784.0000,60.8,61.00,32031301
1178,Round,2.000,H,VVS2,Very Good,Excellent,Excellent,None ,7.82-7.90x5.05,GIA,5126340369,27360.0000,64.2,57.00,35740944
