SI3,M,0.18,0.22,450
I1,M,0.18,0.22,320
I2,M,0.18,0.22,250
I3,M,0.18,0.22,160
IF,N,0.18,0.22,830
VVS1,N,0.18,0.22,830
VVS2,N,0.18,0.22,830
VS1,N,0.18,0.22,660
VS2,N,0.18,0.22,660
SI1,N,0.18,0.22,590
SI2,N,0.18,0.22,510
SI3,N,0.18,0.22,450
I1,N,0.18,0.22,320
I2,N,0.18,0.22,250
I3,N,0.18,0.22,160
IF,D,0.23,0.29,2320
VVS1,D,0.23,0.29,2320
VVS2,D,0.23,0.29,2320
VS1,D,0.23,0.29,1750
VS2,D,0.23,0.29,1750
SI1,D,0.23,0.29,1400
SI2,D,0.23,0.29,1150
SI3,D,0.23,0.29,1000
I1,D,0.23,0.29,810
I2,D,0.23,0.29,670
I3,D,0.23,0.29,480
IF,E,0.23,0.29,2320
VVS1,E,0.23,0.29,2320
VVS2,E,0.23,0.29,2320
VS1,E,0.23,0.29,1750
VS2,E,0.23,0.29,1750
SI1,E,0.23,0.29,1400
SI2,E,0.23,0.29,1150
SI3,E,0.23,0.29,1000
I1,E,0.23,0.29,810
I2,E,0.23,0.29,670
I3,E,0.23,0.29,480
IF,F,0.23,0.29,2320
VVS1,F,0.23,0.29,2320
VVS2,F,0.23,0.29,2320
VS1,F,0.23,0.29,1750
VS2,F,0.23,0.29,1750
SI1,F,0.23,0.29,1400
SI2,F,0.23,0.29,1150
SI3,F,0.23,0.29,1000
I1,F,0.23,0.29,810
I2,F,0.23,0.29,670
I3,F,0.23,0.29,480
IF,G,0.23,0.29,1810
VVS1,G,0.23,0.29,1810
VVS2,G,0.23,0.29,1810
VS1,G,0.23,0.29,1480
VS2,G,0.23,0.29,1480
SI1,G,0.23,0.29,1250
SI2,G,0.23,0.29,1070
SI3,G,0.23,0.29,950
I1,G,0.23,0.29,780
I2,G,0.23,0.29,650
I3,G,0.23,0.29,420
IF,H,0.23,0.29,1810
VVS1,H,0.23,0.29,1810
VVS2,H,0.23,0.29,1810
VS1,H,0.23,0.29,1480
VS2,H,0.23,0.29,1480
SI1,H,0.23,0.29,1250
SI2,H,0.23,0.29,1070
SI3,H,0.23,0.29,950
I1,H,0.23,0.29,780
I2,H,0.23,0.29,650
I3,H,0.23,0.29,420
IF,I,0.23,0.29,1410
VVS1,I,0.23,0.29,1410
VVS2,I,0.23,0.29,1410
VS1,I,0.23,0.29,1160
VS2,I,0.23,0.29,1160
SI1,I,0.23,0.29,1050
SI2,I,0.23,0.29,950
